"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/27/2020","AirNow","510130020","1","0.036","ppm","33","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"02/28/2020","AirNow","510130020","1","0.035","ppm","32","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"02/29/2020","AirNow","510130020","1","0.037","ppm","34","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/01/2020","AirNow","510130020","1","0.04","ppm","37","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/02/2020","AirNow","510130020","1","0.048","ppm","44","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/03/2020","AirNow","510130020","1","0.037","ppm","34","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/04/2020","AirNow","510130020","1","0.041","ppm","38","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/05/2020","AirNow","510130020","1","0.034","ppm","31","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/06/2020","AirNow","510130020","1","0.033","ppm","31","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/07/2020","AirNow","510130020","1","0.038","ppm","35","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/08/2020","AirNow","510130020","1","0.041","ppm","38","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/09/2020","AirNow","510130020","1","0.046","ppm","43","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/10/2020","AirNow","510130020","1","0.037","ppm","34","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/13/2020","AirNow","510130020","1","0.042","ppm","39","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/14/2020","AirNow","510130020","1","0.041","ppm","38","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/15/2020","AirNow","510130020","1","0.033","ppm","31","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/16/2020","AirNow","510130020","1","0.042","ppm","39","Aurora Hills Visitors Center","19","79.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/17/2020","AirNow","510130020","1","0.033","ppm","31","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/18/2020","AirNow","510130020","1","0.037","ppm","34","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/19/2020","AirNow","510130020","1","0.03","ppm","28","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/20/2020","AirNow","510130020","1","0.037","ppm","34","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/21/2020","AirNow","510130020","1","0.035","ppm","32","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/22/2020","AirNow","510130020","1","0.04","ppm","37","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/23/2020","AirNow","510130020","1","0.034","ppm","31","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/24/2020","AirNow","510130020","1","0.033","ppm","31","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/25/2020","AirNow","510130020","1","0.03","ppm","28","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/26/2020","AirNow","510130020","1","0.037","ppm","34","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/27/2020","AirNow","510130020","1","0.043","ppm","40","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/28/2020","AirNow","510130020","1","0.037","ppm","34","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"03/29/2020","AirNow","510130020","1","0.026","ppm","24","Aurora Hills Visitors Center","24","100.0000","44201","Ozone","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
