"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AirNow","481130069","3","0.031","ppm","29","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/02/2020","AirNow","481130069","3","0.018","ppm","17","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/03/2020","AirNow","481130069","3","0.026","ppm","24","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/04/2020","AirNow","481130069","3","0.031","ppm","29","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/05/2020","AirNow","481130069","3","0.034","ppm","31","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/07/2020","AirNow","481130069","3","0.023","ppm","21","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/08/2020","AirNow","481130069","3","0.04","ppm","37","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/09/2020","AirNow","481130069","3","0.032","ppm","30","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/10/2020","AirNow","481130069","3","0.022","ppm","20","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/11/2020","AirNow","481130069","3","0.025","ppm","23","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/12/2020","AirNow","481130069","3","0.024","ppm","22","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/13/2020","AirNow","481130069","3","0.018","ppm","17","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/15/2020","AirNow","481130069","3","0.017","ppm","16","Dallas Hinton","21","88.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/16/2020","AirNow","481130069","3","0.018","ppm","17","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/17/2020","AirNow","481130069","3","0.015","ppm","14","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/18/2020","AirNow","481130069","3","0.029","ppm","27","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/19/2020","AirNow","481130069","3","0.035","ppm","32","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/20/2020","AirNow","481130069","3","0.024","ppm","22","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/21/2020","AirNow","481130069","3","0.022","ppm","20","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/22/2020","AirNow","481130069","3","0.02","ppm","19","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/23/2020","AirNow","481130069","3","0.023","ppm","21","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/24/2020","AirNow","481130069","3","0.027","ppm","25","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/25/2020","AirNow","481130069","3","0.036","ppm","33","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/26/2020","AirNow","481130069","3","0.025","ppm","23","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/27/2020","AirNow","481130069","3","0.019","ppm","18","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/29/2020","AirNow","481130069","3","0.022","ppm","20","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/30/2020","AirNow","481130069","3","0.02","ppm","19","Dallas Hinton","24","100.0000","44201","Ozone","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
