"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AirNow","060710001","1","0.029","ppm","27","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/02/2020","AirNow","060710001","1","0.026","ppm","24","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/03/2020","AirNow","060710001","1","0.021","ppm","19","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/04/2020","AirNow","060710001","1","0.03","ppm","28","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/05/2020","AirNow","060710001","1","0.032","ppm","30","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/06/2020","AirNow","060710001","1","0.029","ppm","27","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/07/2020","AirNow","060710001","1","0.021","ppm","19","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/08/2020","AirNow","060710001","1","0.038","ppm","35","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/09/2020","AirNow","060710001","1","0.039","ppm","36","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/10/2020","AirNow","060710001","1","0.028","ppm","26","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/11/2020","AirNow","060710001","1","0.042","ppm","39","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/12/2020","AirNow","060710001","1","0.032","ppm","30","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/13/2020","AirNow","060710001","1","0.036","ppm","33","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/14/2020","AirNow","060710001","1","0.043","ppm","40","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/15/2020","AirNow","060710001","1","0.033","ppm","31","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/16/2020","AirNow","060710001","1","0.042","ppm","39","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/17/2020","AirNow","060710001","1","0.04","ppm","37","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/18/2020","AirNow","060710001","1","0.033","ppm","31","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/19/2020","AirNow","060710001","1","0.031","ppm","29","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/20/2020","AirNow","060710001","1","0.02","ppm","19","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/21/2020","AirNow","060710001","1","0.04","ppm","37","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/22/2020","AirNow","060710001","1","0.038","ppm","35","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/23/2020","AirNow","060710001","1","0.029","ppm","27","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/24/2020","AirNow","060710001","1","0.029","ppm","27","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/25/2020","AirNow","060710001","1","0.031","ppm","29","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/26/2020","AirNow","060710001","1","0.036","ppm","33","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/27/2020","AirNow","060710001","1","0.036","ppm","33","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/28/2020","AirNow","060710001","1","0.033","ppm","31","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/29/2020","AirNow","060710001","1","0.042","ppm","39","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/30/2020","AirNow","060710001","1","0.037","ppm","34","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/31/2020","AirNow","060710001","1","0.03","ppm","28","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/01/2020","AirNow","060710001","1","0.029","ppm","27","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/02/2020","AirNow","060710001","1","0.046","ppm","43","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/03/2020","AirNow","060710001","1","0.043","ppm","40","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/04/2020","AirNow","060710001","1","0.043","ppm","40","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/05/2020","AirNow","060710001","1","0.033","ppm","31","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/06/2020","AirNow","060710001","1","0.031","ppm","29","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/07/2020","AirNow","060710001","1","0.035","ppm","32","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/08/2020","AirNow","060710001","1","0.051","ppm","47","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/09/2020","AirNow","060710001","1","0.043","ppm","40","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/10/2020","AirNow","060710001","1","0.042","ppm","39","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/11/2020","AirNow","060710001","1","0.046","ppm","43","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/12/2020","AirNow","060710001","1","0.044","ppm","41","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/13/2020","AirNow","060710001","1","0.043","ppm","40","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/14/2020","AirNow","060710001","1","0.049","ppm","45","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/15/2020","AirNow","060710001","1","0.051","ppm","47","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/16/2020","AirNow","060710001","1","0.048","ppm","44","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/17/2020","AirNow","060710001","1","0.047","ppm","44","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/19/2020","AirNow","060710001","1","0.047","ppm","44","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/20/2020","AirNow","060710001","1","0.047","ppm","44","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/21/2020","AirNow","060710001","1","0.047","ppm","44","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/22/2020","AirNow","060710001","1","0.049","ppm","45","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/23/2020","AirNow","060710001","1","0.046","ppm","43","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/24/2020","AirNow","060710001","1","0.042","ppm","39","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/25/2020","AirNow","060710001","1","0.045","ppm","42","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/26/2020","AirNow","060710001","1","0.049","ppm","45","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/27/2020","AirNow","060710001","1","0.039","ppm","36","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/28/2020","AirNow","060710001","1","0.041","ppm","38","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"02/29/2020","AirNow","060710001","1","0.054","ppm","50","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/01/2020","AirNow","060710001","1","0.051","ppm","47","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/02/2020","AirNow","060710001","1","0.044","ppm","41","Barstow","18","75.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/03/2020","AirNow","060710001","1","0.039","ppm","36","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/04/2020","AirNow","060710001","1","0.038","ppm","35","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/05/2020","AirNow","060710001","1","0.043","ppm","40","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/06/2020","AirNow","060710001","1","0.054","ppm","50","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/07/2020","AirNow","060710001","1","0.048","ppm","44","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/08/2020","AirNow","060710001","1","0.047","ppm","44","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/09/2020","AirNow","060710001","1","0.048","ppm","44","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/10/2020","AirNow","060710001","1","0.04","ppm","37","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/11/2020","AirNow","060710001","1","0.041","ppm","38","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/12/2020","AirNow","060710001","1","0.032","ppm","30","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/13/2020","AirNow","060710001","1","0.039","ppm","36","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/14/2020","AirNow","060710001","1","0.046","ppm","43","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/15/2020","AirNow","060710001","1","0.048","ppm","44","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/16/2020","AirNow","060710001","1","0.048","ppm","44","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/17/2020","AirNow","060710001","1","0.047","ppm","44","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/19/2020","AirNow","060710001","1","0.046","ppm","43","Barstow","18","75.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/20/2020","AirNow","060710001","1","0.049","ppm","45","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/21/2020","AirNow","060710001","1","0.05","ppm","46","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/22/2020","AirNow","060710001","1","0.054","ppm","50","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/23/2020","AirNow","060710001","1","0.049","ppm","45","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/24/2020","AirNow","060710001","1","0.049","ppm","45","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/25/2020","AirNow","060710001","1","0.049","ppm","45","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/26/2020","AirNow","060710001","1","0.049","ppm","45","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/27/2020","AirNow","060710001","1","0.047","ppm","44","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/28/2020","AirNow","060710001","1","0.052","ppm","48","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/29/2020","AirNow","060710001","1","0.049","ppm","45","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/30/2020","AirNow","060710001","1","0.051","ppm","47","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"03/31/2020","AirNow","060710001","1","0.048","ppm","44","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"04/01/2020","AirNow","060710001","1","0.049","ppm","45","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"04/02/2020","AirNow","060710001","1","0.057","ppm","58","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"04/03/2020","AirNow","060710001","1","0.054","ppm","50","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"04/04/2020","AirNow","060710001","1","0.052","ppm","48","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"04/05/2020","AirNow","060710001","1","0.044","ppm","41","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"04/06/2020","AirNow","060710001","1","0.039","ppm","36","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"04/07/2020","AirNow","060710001","1","0.041","ppm","38","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"04/08/2020","AirNow","060710001","1","0.045","ppm","42","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"04/10/2020","AirNow","060710001","1","0.042","ppm","39","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"04/11/2020","AirNow","060710001","1","0.046","ppm","43","Barstow","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"04/12/2020","AirNow","060710001","1","0.045","ppm","42","Barstow","20","83.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.8939800008857","-117.02480394"
"01/01/2020","AirNow","060710005","1","0.034","ppm","31","Crestline","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/02/2020","AirNow","060710005","1","0.039","ppm","36","Crestline","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/03/2020","AirNow","060710005","1","0.027","ppm","25","Crestline","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/04/2020","AirNow","060710005","1","0.043","ppm","40","Crestline","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/05/2020","AirNow","060710005","1","0.043","ppm","40","Crestline","24","100.0000","44201","Ozone","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
