"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AirNow","481130069","4","18.7","ug/m3 LC","65","Dallas Hinton","1","100.0000","88101","PM2.5 - Local Conditions","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/02/2020","AirNow","481130069","4","10.7","ug/m3 LC","45","Dallas Hinton","1","100.0000","88101","PM2.5 - Local Conditions","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/03/2020","AirNow","481130069","4","8.4","ug/m3 LC","35","Dallas Hinton","1","100.0000","88101","PM2.5 - Local Conditions","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/04/2020","AirNow","481130069","4","11.8","ug/m3 LC","49","Dallas Hinton","1","100.0000","88101","PM2.5 - Local Conditions","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/05/2020","AirNow","481130069","4","10.1","ug/m3 LC","42","Dallas Hinton","1","100.0000","88101","PM2.5 - Local Conditions","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/06/2020","AirNow","481130069","4","11.1","ug/m3 LC","46","Dallas Hinton","1","100.0000","88101","PM2.5 - Local Conditions","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/07/2020","AirNow","481130069","4","10.4","ug/m3 LC","43","Dallas Hinton","1","100.0000","88101","PM2.5 - Local Conditions","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/08/2020","AirNow","481130069","4","11","ug/m3 LC","46","Dallas Hinton","1","100.0000","88101","PM2.5 - Local Conditions","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/09/2020","AirNow","481130069","4","8.2","ug/m3 LC","34","Dallas Hinton","1","100.0000","88101","PM2.5 - Local Conditions","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/10/2020","AirNow","481130069","4","7.6","ug/m3 LC","32","Dallas Hinton","1","100.0000","88101","PM2.5 - Local Conditions","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/11/2020","AirNow","481130069","4","9.9","ug/m3 LC","41","Dallas Hinton","1","100.0000","88101","PM2.5 - Local Conditions","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
"01/12/2020","AirNow","481130069","4","11.3","ug/m3 LC","47","Dallas Hinton","1","100.0000","88101","PM2.5 - Local Conditions","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.820061","-96.860117"
