"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AirNow","120860034","3","22.6","ug/m3 LC","73","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/02/2020","AirNow","120860034","3","10.9","ug/m3 LC","45","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/03/2020","AirNow","120860034","3","6.8","ug/m3 LC","28","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/04/2020","AirNow","120860034","3","6.9","ug/m3 LC","29","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/05/2020","AirNow","120860034","3","4.9","ug/m3 LC","20","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/06/2020","AirNow","120860034","3","6.1","ug/m3 LC","25","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/07/2020","AirNow","120860034","3","6.2","ug/m3 LC","26","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/08/2020","AirNow","120860034","3","7.8","ug/m3 LC","33","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/09/2020","AirNow","120860034","3","8.4","ug/m3 LC","35","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/10/2020","AirNow","120860034","3","11.4","ug/m3 LC","48","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/11/2020","AirNow","120860034","3","12.5","ug/m3 LC","52","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/12/2020","AirNow","120860034","3","12","ug/m3 LC","50","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/13/2020","AirNow","120860034","3","9.4","ug/m3 LC","39","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/14/2020","AirNow","120860034","3","8.9","ug/m3 LC","37","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/15/2020","AirNow","120860034","3","6.2","ug/m3 LC","26","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/16/2020","AirNow","120860034","3","6.9","ug/m3 LC","29","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/17/2020","AirNow","120860034","3","8.6","ug/m3 LC","36","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/18/2020","AirNow","120860034","3","9.2","ug/m3 LC","38","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/19/2020","AirNow","120860034","3","8","ug/m3 LC","33","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/20/2020","AirNow","120860034","3","8.9","ug/m3 LC","37","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/21/2020","AirNow","120860034","3","8.7","ug/m3 LC","36","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/22/2020","AirNow","120860034","3","9.8","ug/m3 LC","41","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/23/2020","AirNow","120860034","3","6.7","ug/m3 LC","28","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/25/2020","AirNow","120860034","3","8.7","ug/m3 LC","36","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/26/2020","AirNow","120860034","3","6.5","ug/m3 LC","27","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/27/2020","AirNow","120860034","3","10.3","ug/m3 LC","43","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/28/2020","AirNow","120860034","3","11.6","ug/m3 LC","48","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/29/2020","AirNow","120860034","3","8.4","ug/m3 LC","35","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/30/2020","AirNow","120860034","3","8.7","ug/m3 LC","36","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"01/31/2020","AirNow","120860034","3","9.5","ug/m3 LC","40","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
"02/01/2020","AirNow","120860034","3","6.1","ug/m3 LC","25","KENDALL","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12","Florida","086","Miami-Dade","25.68333","-80.399722"
