"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AirNow","060710005","3","7.8","ug/m3 LC","33","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/02/2020","AirNow","060710005","3","4.1","ug/m3 LC","17","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/03/2020","AirNow","060710005","3","12.2","ug/m3 LC","51","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/04/2020","AirNow","060710005","3","14.9","ug/m3 LC","57","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/05/2020","AirNow","060710005","3","6.9","ug/m3 LC","29","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/06/2020","AirNow","060710005","3","7.3","ug/m3 LC","30","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/07/2020","AirNow","060710005","3","5.4","ug/m3 LC","23","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/08/2020","AirNow","060710005","3","9.1","ug/m3 LC","38","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/09/2020","AirNow","060710005","3","6.9","ug/m3 LC","29","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/10/2020","AirNow","060710005","3","9.5","ug/m3 LC","40","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/11/2020","AirNow","060710005","3","11.6","ug/m3 LC","48","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/12/2020","AirNow","060710005","3","11.4","ug/m3 LC","48","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/13/2020","AirNow","060710005","3","11.6","ug/m3 LC","48","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/14/2020","AirNow","060710005","3","11.9","ug/m3 LC","50","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/15/2020","AirNow","060710005","3","6","ug/m3 LC","25","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/16/2020","AirNow","060710005","3","8","ug/m3 LC","33","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/17/2020","AirNow","060710005","3","6.2","ug/m3 LC","26","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/18/2020","AirNow","060710005","3","8.7","ug/m3 LC","36","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/19/2020","AirNow","060710005","3","11.6","ug/m3 LC","48","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/20/2020","AirNow","060710005","3","7.2","ug/m3 LC","30","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/21/2020","AirNow","060710005","3","10.2","ug/m3 LC","43","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/22/2020","AirNow","060710005","3","4.1","ug/m3 LC","17","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/23/2020","AirNow","060710005","3","6.1","ug/m3 LC","25","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/24/2020","AirNow","060710005","3","4.4","ug/m3 LC","18","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/25/2020","AirNow","060710005","3","11.3","ug/m3 LC","47","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/26/2020","AirNow","060710005","3","8.5","ug/m3 LC","35","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/27/2020","AirNow","060710005","3","7.7","ug/m3 LC","32","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/28/2020","AirNow","060710005","3","9","ug/m3 LC","38","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/29/2020","AirNow","060710005","3","3.1","ug/m3 LC","13","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/30/2020","AirNow","060710005","3","0","ug/m3 LC","0","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"01/31/2020","AirNow","060710005","3","0.1","ug/m3 LC","0","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
"02/01/2020","AirNow","060710005","3","0.2","ug/m3 LC","1","Crestline","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.2431","-117.27235"
